stn,year,mmddhh,ta,td,hm,ws,rn,re,ww,si,ss,sn,mm,dd,hh
a,F,80100,25.5,24.0,91.9,2.7,0.0,7.0,R,0.0,0.0,0.0,8,1,0
a,F,80101,25.3,24.1,93.1,2.2,1.1,28.0,R,0.0,0.0,0.0,8,1,1
a,F,80102,25.3,24.1,93.0,2.7,0.9,23.0,R,0.0,0.0,0.0,8,1,2
a,F,80103,25.2,24.2,94.2,2.4,4.9,60.0,R,0.0,0.0,0.0,8,1,3
a,F,80104,25.0,24.2,95.5,4.0,7.5,56.0,R,0.0,0.0,0.0,8,1,4
a,F,80105,24.9,24.1,95.6,4.0,0.3,16.0,R,0.0,0.0,0.0,8,1,5
a,F,80106,25.0,24.3,95.8,4.2,1.8,25.0,R,0.0,0.0,0.0,8,1,6
a,F,80107,25.0,24.4,96.5,3.4,3.7,47.0,R,0.03,0.0,0.0,8,1,7
a,F,80108,25.2,24.5,96.2,2.6,0.3,13.0,R,0.22,0.0,0.0,8,1,8
a,F,80109,25.7,25.0,95.6,2.7,0.0,0.0,C,0.9,0.0,0.0,8,1,9
a,F,80110,26.8,25.7,93.8,2.7,0.0,0.0,C,1.3,0.2,0.0,8,1,10
a,F,80111,27.0,25.5,91.4,3.6,0.4,11.0,R,1.13,0.2,0.0,8,1,11
a,F,80112,28.4,26.3,88.3,3.1,0.0,0.0,G,2.79,0.7,0.0,8,1,12
a,F,80113,29.8,26.1,80.5,3.5,0.0,0.0,C,3.18,0.9,0.0,8,1,13
a,F,80114,30.5,25.4,74.5,3.2,0.0,0.0,C,2.04,0.3,0.0,8,1,14
a,F,80115,30.6,25.4,73.8,2.5,0.0,0.0,C,1.18,0.0,0.0,8,1,15
a,F,80116,31.0,25.2,71.6,2.6,0.0,0.0,C,1.23,0.1,0.0,8,1,16
a,F,80117,30.9,25.0,70.9,3.2,0.0,1.0,R,0.71,0.1,0.0,8,1,17
a,F,80118,30.7,24.7,70.5,3.5,0.0,0.0,R,0.65,0.2,0.0,8,1,18
a,F,80119,30.4,24.4,70.3,3.0,0.0,4.0,R,0.35,0.1,0.0,8,1,19
a,F,80120,29.9,24.0,70.5,2.7,0.0,2.0,R,0.03,0.0,0.0,8,1,20
a,F,80121,29.4,23.7,71.6,2.9,0.1,12.0,R,0.027,0.0,0.0,8,1,21
a,F,80122,28.8,23.6,73.5,2.7,0.0,0.0,R,0.024,0.0,0.0,8,1,22
a,F,80123,28.5,23.7,75.4,3.4,0.3,11.0,R,0.020999999999999998,0.0,0.0,8,1,23
a,F,80200,26.5,24.6,89.1,3.7,10.0,59.0,R,0.018,0.0,0.0,8,2,0
