stn,year,mmddhh,ta,td,hm,ws,rn,re,ww,si,ss,sn,mm,dd,hh
a,F,20100,0.6,-2.0,82.5,2.7,0.0,0.0,G,0.0,0.0,3.1,2,1,0
a,F,20101,0.0,-5.2,68.3,3.2,0.0,0.0,R,0.0,0.0,3.1,2,1,1
a,F,20102,-0.3,-6.4,63.7,2.7,0.0,0.0,C,0.0,0.0,3.1,2,1,2
a,F,20103,-1.0,-4.5,77.2,2.1,0.2,7.0,R,0.0,0.0,4.1,2,1,3
a,F,20104,-1.4,-3.1,88.3,2.9,0.6,3.0,R,0.0,0.0,4.7,2,1,4
a,F,20105,-1.6,-3.7,85.9,1.8,0.0,0.0,C,0.0,0.0,4.6,2,1,5
a,F,20106,-1.7,-3.8,85.9,3.4,0.3,6.0,S,0.0,0.0,5.3,2,1,6
a,F,20107,-1.8,-4.9,79.3,3.5,0.0,0.0,S,0.0,0.0,5.2,2,1,7
a,F,20108,-2.2,-5.3,78.8,3.4,0.0,0.0,R,0.0,0.0,5.0,2,1,8
a,F,20109,-2.1,-4.7,82.3,2.5,0.1,0.0,R,0.09,0.0,4.9,2,1,9
a,F,20110,-1.7,-4.6,80.3,2.3,0.0,0.0,S,0.27,0.0,4.7,2,1,10
a,F,20111,-1.0,-4.9,74.9,3.1,0.0,0.0,G,0.53,0.7,4.1,2,1,11
a,F,20112,-0.6,-5.5,69.1,4.2,0.0,0.0,G,0.74,1.0,3.1,2,1,12
a,F,20113,-0.4,-5.1,70.5,4.5,0.0,0.0,G,0.77,0.6,2.4,2,1,13
a,F,20114,0.1,-5.5,65.8,4.4,0.0,0.0,G,0.92,0.6,1.4,2,1,14
a,F,20115,0.2,-6.1,62.7,4.2,0.0,0.0,G,0.94,0.6,0.7,2,1,15
a,F,20116,0.5,-6.2,61.0,3.6,0.0,0.0,G,1.06,0.8,0.3,2,1,16
a,F,20117,-0.1,-5.5,67.2,3.4,0.0,0.0,G,0.47,0.5,0.2,2,1,17
a,F,20118,-0.6,-5.6,68.9,2.5,0.0,0.0,G,0.1,0.0,0.0,2,1,18
a,F,20119,-1.0,-5.4,71.9,2.8,0.0,0.0,G,0.09357142857142858,0.0,0.0,2,1,19
a,F,20120,-1.2,-5.1,75.2,3.1,0.0,0.0,G,0.08714285714285715,0.0,0.0,2,1,20
