stn,year,mmddhh,ta,td,hm,ws,rn,re,ww,si,ss,sn,mm,dd,hh
a,F,50100,10.4,3.2,61.4,2.2,0.0,0.0,G,0.0,0.0,0.0,5,1,0
a,F,50101,9.9,2.1,58.2,1.7,0.0,0.0,C,0.0,0.0,0.0,5,1,1
a,F,50102,9.8,1.8,57.4,1.9,0.0,0.0,C,0.0,0.0,0.0,5,1,2
a,F,50103,9.2,2.5,62.8,1.4,0.0,0.0,C,0.0,0.0,0.0,5,1,3
a,F,50104,8.7,2.8,66.2,1.6,0.0,0.0,C,0.0,0.0,0.0,5,1,4
a,F,50105,8.5,3.2,69.5,1.8,0.0,0.0,C,0.0,0.0,0.0,5,1,5
a,F,50106,8.5,3.6,71.4,2.0,0.0,0.0,C,0.01,0.0,0.0,5,1,6
a,F,50107,8.9,4.6,74.4,1.3,0.0,0.0,C,0.33,0.8,0.0,5,1,7
a,F,50108,10.3,5.5,72.0,1.4,0.0,0.0,C,1.03,1.0,0.0,5,1,8
a,F,50109,11.9,4.6,60.9,1.9,0.0,0.0,C,1.79,1.0,0.0,5,1,9
a,F,50110,13.4,5.1,57.0,3.0,0.0,0.0,C,2.48,1.0,0.0,5,1,10
a,F,50111,14.1,4.9,54.0,3.8,0.0,0.0,C,3.03,1.0,0.0,5,1,11
a,F,50112,14.6,2.2,43.4,4.5,0.0,0.0,C,3.39,1.0,0.0,5,1,12
a,F,50113,14.9,2.0,41.7,4.3,0.0,0.0,C,3.53,1.0,0.0,5,1,13
a,F,50114,15.8,3.3,43.3,4.5,0.0,0.0,C,3.42,1.0,0.0,5,1,14
a,F,50115,15.1,3.2,44.9,5.4,0.0,0.0,C,3.07,1.0,0.0,5,1,15
a,F,50116,14.7,4.3,49.6,5.0,0.0,0.0,C,2.5,1.0,0.0,5,1,16
a,F,50117,14.1,5.1,54.6,4.6,0.0,0.0,C,1.7,1.0,0.0,5,1,17
a,F,50118,13.4,5.4,58.7,4.6,0.0,0.0,C,0.81,0.4,0.0,5,1,18
a,F,50119,12.5,5.6,62.7,4.3,0.0,0.0,C,0.23,0.0,0.0,5,1,19
a,F,50120,12.3,6.0,65.7,4.6,0.0,0.0,C,0.01,0.0,0.0,5,1,20
a,F,50121,12.0,7.1,71.8,3.8,0.0,0.0,C,0.01,0.0,0.0,5,1,21
a,F,50122,11.4,7.5,76.8,3.5,0.0,0.0,G,0.01,0.0,0.0,5,1,22
a,F,50123,10.9,7.6,80.5,2.6,0.0,0.0,G,0.01,0.0,0.0,5,1,23
a,F,50200,10.5,7.6,82.6,1.9,0.0,0.0,G,0.01,0.0,0.0,5,2,0
a,F,50201,10.2,7.8,84.5,2.2,0.0,0.0,G,0.01,0.0,0.0,5,2,1
a,F,50202,10.0,7.6,85.1,0.9,0.0,0.0,G,0.01,0.0,0.0,5,2,2
a,F,50203,9.8,7.5,85.9,1.1,0.0,0.0,G,0.01,0.0,0.0,5,2,3
a,F,50204,9.5,7.4,87.2,1.4,0.0,0.0,H,0.01,0.0,0.0,5,2,4
a,F,50205,9.3,7.5,88.6,1.7,0.0,0.0,H,0.01,0.0,0.0,5,2,5
a,F,50206,9.2,7.5,89.5,2.1,0.0,0.0,H,0.01,0.0,0.0,5,2,6
a,F,50207,9.7,8.1,89.8,1.9,0.0,0.0,G,0.29,0.4,0.0,5,2,7
a,F,50208,10.6,8.6,87.0,1.5,0.0,0.0,G,0.92,1.0,0.0,5,2,8
a,F,50209,12.0,8.4,78.6,1.5,0.0,0.0,G,1.59,1.0,0.0,5,2,9
a,F,50210,13.3,6.3,62.8,1.9,0.0,0.0,G,2.41,1.0,0.0,5,2,10
a,F,50211,14.6,6.2,57.3,2.7,0.0,0.0,C,2.94,1.0,0.0,5,2,11
a,F,50212,15.3,8.1,62.2,2.7,0.0,0.0,C,2.99,0.9,0.0,5,2,12
a,F,50213,16.2,6.0,51.1,2.8,0.0,0.0,C,3.45,1.0,0.0,5,2,13
a,F,50214,16.8,2.5,38.3,3.2,0.0,0.0,C,2.96,0.9,0.0,5,2,14
a,F,50215,16.9,0.8,33.8,4.4,0.0,0.0,C,3.06,1.0,0.0,5,2,15
