stn,year,mmddhh,ta,td,hm,ws,rn,re,ww,si,ss,sn,mm,dd,hh
a,F,110100,12.8,10.6,86.5,1.3,0.0,0.0,G,0.9012940401712215,0.5792229173526506,1.9260364842454392,11,1,0
a,F,110101,12.5,10.5,87.2,1.3,0.0,0.0,G,0.9012940401712215,0.5792229173526506,1.9260364842454392,11,1,1
a,F,110102,12.4,10.5,87.9,1.1,0.0,0.0,G,0.9012940401712215,0.5792229173526506,1.9260364842454392,11,1,2
a,F,110103,12.2,10.4,88.5,1.0,0.0,0.0,G,0.9012940401712215,0.5792229173526506,1.9260364842454392,11,1,3
a,F,110104,12.1,10.3,88.7,0.2,0.0,0.0,G,0.9012940401712215,0.5792229173526506,1.9260364842454392,11,1,4
a,F,110105,12.2,10.5,89.1,0.6,0.0,0.0,G,0.9012940401712215,0.5792229173526506,1.9260364842454392,11,1,5
a,F,110106,12.3,10.6,89.8,0.8,0.0,0.0,G,0.9012940401712215,0.5792229173526506,1.9260364842454392,11,1,6
a,F,110107,12.4,10.8,89.7,0.5,0.0,0.0,G,0.0,0.0,1.9260364842454392,11,1,7
a,F,110108,12.5,10.8,89.4,0.5,0.0,0.0,G,0.08,0.0,1.9260364842454392,11,1,8
a,F,110109,13.0,11.6,90.6,0.5,0.0,0.0,G,0.28,0.0,1.9260364842454392,11,1,9
a,F,110110,13.8,12.0,88.9,0.6,0.0,0.0,G,0.64,0.0,1.9260364842454392,11,1,10
a,F,110111,14.6,12.1,85.4,1.6,0.0,0.0,G,1.1,0.3,1.9260364842454392,11,1,11
a,F,110112,15.3,12.1,81.6,1.9,0.0,0.0,G,1.37,0.3,1.9260364842454392,11,1,12
a,F,110113,15.2,11.8,80.0,2.3,0.0,0.0,G,0.84,0.1,1.9260364842454392,11,1,13
a,F,110114,15.9,11.6,75.4,2.5,0.0,0.0,G,1.8,0.9,1.9260364842454392,11,1,14
a,F,110115,15.9,10.1,68.4,2.4,0.0,0.0,G,0.97,0.4,1.9260364842454392,11,1,15
a,F,110116,16.5,4.7,46.3,2.8,0.0,0.0,C,1.19,1.0,1.9260364842454392,11,1,16
a,F,110117,16.1,5.1,48.2,2.6,0.0,0.0,C,0.51,1.0,1.9260364842454392,11,1,17
